lga,ward,schoolname,school code
 Agege Local Government Area,Unknown Ward, Aanu Oluwapo Primary School Oyewole (24010005),24010005
 Agege Local Government Area,Unknown Ward, African Church Central Primary School Oniwaya (24010024),24010024
 Agege Local Government Area,la Sango Ward, Ahmad Memorial Moslem Primary School Oke- Kato (24010027),24010027
 Agege Local Government Area,Unknown Ward, Ajegunle Primary Schoolotubu Agege (24010028),24010028
 Agege Local Government Area,Unknown Ward, Akilo Primary School Ogba (24010029),24010029
 Agege Local Government Area,la Sango Ward, Amosun Nursery &Amp Primary School Amosun (24010042),24010042
 Agege Local Government Area,la Sango Ward, Anwar-Ul-Islam Primary School Agege (24010044),24010044
 Agege Local Government Area,Unknown Ward, Araromi Primary School Agege (24010046),24010046
 Agege Local Government Area,la Sango Ward, Bishop Ajana Primary School Oke-Koto (24010069),24010069
 Agege Local Government Area,Unknown Ward, Communityunity Primary School Idi Mangoro (24010103),24010103
 Agege Local Government Area,la Sango Ward, Dairy Farm Nursery And Primary School Sango Agege (24010110),24010110
 Agege Local Government Area,la Sango Ward, Darocha Primary School Agege (24010111),24010111
 Agege Local Government Area,Unknown Ward, District Primary School Agege (24010132),24010132
 Agege Local Government Area,la Dopemu Ward, Dopemu Primary School Agege (24010142),24010142
 Agege Local Government Area,la Sango Ward, Ibido Primary School Oke-Koto (24010232),24010232
 Agege Local Government Area,la Sango Ward, Ideal Primary School Tabon Tabon (24010235),24010235
 Agege Local Government Area,Unknown Ward, Ifelodun Primary School Agege (24010237),24010237
 Agege Local Government Area,Unknown Ward, Ifeoluwa Primary School Agege (24010238),24010238
 Agege Local Government Area,Unknown Ward, Irepodun Primary School Agege (24010248),24010248
 Agege Local Government Area,la Sango Ward, Issa Williams Primary School Agege (24010249),24010249
 Agege Local Government Area,Unknown Ward, Jibril Martins Primary School Agege (24010253),24010253
 Agege Local Government Area,la Sango Ward, Keke Primary School Obemero Remo Keke (24010268),24010268
 Agege Local Government Area,Unknown Ward, Ladoje Primary Schoo Oko Oba (24010277),24010277
 Agege Local Government Area,la Sango Ward, Local Government Primary School Agege (24010285),24010285
 Agege Local Government Area,la Sango Ward, Methodist Primary School Tabon-Tabon (24010300),24010300
 Agege Local Government Area,Unknown Ward, Moses Orimolade Primary School Oke Koto (24010303),24010303
 Agege Local Government Area,Unknown Ward, Oduduwa Primary School Oduduwa (24010308),24010308
 Agege Local Government Area,la Sango Ward, Oke-Koto United Primary School Oke-Koto (24010309),24010309
